ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_IdentifySecondaryObjects
47,16,112.42307692307692,291.13461538461536,0,16,36
47,17,160.09302325581396,303.69767441860466,0,17,40
48,1,122.44,51.85333333333333,0,1,1
48,2,208.40776699029126,63.94174757281554,0,2,6
48,3,335.943661971831,81.87323943661971,0,3,9
48,4,248.27142857142857,92.61428571428571,0,4,10
48,5,314.43,94.76,0,5,11
48,6,238.82142857142858,105.75,0,6,12
48,7,35.87179487179487,125.74358974358974,0,7,15
48,8,232.42592592592592,135.75925925925927,0,8,19
48,9,39.97560975609756,151.0731707317073,0,9,20
48,10,121.89333333333333,157.17333333333335,0,10,21
48,11,114.07407407407408,180.1358024691358,0,11,26
48,12,229.46969696969697,194.74242424242425,0,12,29
48,13,250.50617283950618,198.1358024691358,0,13,30
48,14,285.8809523809524,222.41666666666666,0,14,31
48,15,272.15909090909093,225.20454545454547,0,15,32
48,16,257.0689655172414,257.26724137931035,0,16,33
48,17,288.8076923076923,267.63461538461536,0,17,35
48,18,111.91836734693878,291.2244897959184,0,18,41
48,19,160.80434782608697,304.7173913043478,0,19,44
49,1,126.44354838709677,54.08064516129032,0,1,1
49,2,208.99019607843138,64.05882352941177,0,2,4
49,3,335.8933333333333,81.98666666666666,0,3,7
49,4,248.36923076923077,92.67692307692307,0,4,8
49,5,314.6923076923077,94.61538461538461,0,5,9
49,6,232.05357142857142,135.51785714285714,0,6,16
49,7,39.875,151.58333333333334,0,7,17
49,8,121.71604938271605,156.679012345679,0,8,18
49,9,60.81481481481482,166.25925925925927,0,9,20
49,10,113.9,179.975,0,10,22
49,11,229.63768115942028,194.7826086956522,0,11,25
49,12,250.66666666666666,198.17948717948718,0,12,26
49,13,286.0,222.57471264367817,0,13,27
49,14,272.0208333333333,225.0,0,14,28
49,15,256.4159292035398,257.42477876106193,0,15,29
49,16,288.22641509433964,267.50943396226415,0,16,31
49,17,111.68,291.06,0,17,34
49,18,161.6530612244898,305.14285714285717,0,18,38
50,1,121.5625,51.475,0,1,1
50,2,210.0990990990991,64.37837837837837,0,2,8
50,3,147.375,65.375,0,3,10
50,4,337.0,81.57317073170732,0,4,12
50,5,249.34375,91.359375,0,5,13
50,6,313.3727272727273,95.42727272727272,0,6,14
50,7,232.03030303030303,136.53030303030303,0,7,20
50,8,121.96666666666667,155.13333333333333,0,8,22
50,9,114.0561797752809,180.35955056179776,0,9,28
50,10,229.33734939759037,194.6987951807229,0,10,31
50,11,250.95604395604394,198.1868131868132,0,11,32
50,12,285.6190476190476,222.04761904761904,0,12,33
50,13,272.6808510638298,225.89361702127658,0,13,34
50,14,255.92523364485982,257.42056074766356,0,14,35
50,15,110.92307692307692,290.90384615384613,0,15,40
51,1,120.55844155844156,51.298701298701296,0,1,1
51,2,210.19130434782608,64.4,0,2,10
51,3,336.7283950617284,81.64197530864197,0,3,12
51,4,249.21212121212122,91.22727272727273,0,4,13
51,5,313.1834862385321,95.4954128440367,0,5,14
51,6,231.36923076923077,136.73846153846154,0,6,18
51,7,121.76470588235294,154.47058823529412,0,7,21
51,8,39.27272727272727,152.8181818181818,0,8,22
51,9,114.03370786516854,180.37078651685394,0,9,27
51,10,229.3855421686747,194.6867469879518,0,10,30
51,11,251.3409090909091,198.1590909090909,0,11,31
51,12,285.30864197530866,221.55555555555554,0,12,32
51,13,272.5157894736842,225.8421052631579,0,13,33
51,14,263.41818181818184,255.27272727272728,0,14,35
51,15,111.05172413793103,291.05172413793105,0,15,40
52,1,120.79761904761905,51.38095238095238,0,1,1
52,2,174.58823529411765,64.41176470588235,0,2,6
52,3,209.7433628318584,64.39823008849558,0,3,7
52,4,336.8051948051948,81.66233766233766,0,4,9
52,5,248.9016393442623,91.32786885245902,0,5,10
52,6,312.62264150943395,95.80188679245283,0,6,11
52,7,231.36666666666667,136.85,0,7,17
52,8,121.67441860465117,154.0,0,8,21
52,9,114.11235955056179,180.30337078651687,0,9,27
52,10,229.41975308641975,194.80246913580248,0,10,30
52,11,251.86206896551724,197.94252873563218,0,11,31
52,12,285.4318181818182,221.86363636363637,0,12,32
52,13,272.3404255319149,225.54255319148936,0,13,33
52,14,255.0091743119266,257.57798165137615,0,14,34
52,15,289.7647058823529,267.5882352941176,0,15,36
